srcid,Mode,A1,A2,undecided_voter,A3a,A4_a,A4_b,A4_c,A4_d,A4_e,A5_a,A5_b,A5_c,A5_d,A5_e,A5_f,A5_g,A5_h,B1_a,B1_b,B1_c,B1_d,B4,B5,B6,C1_a,C1_b,C1_c,C1_d,C1_e,C1_f,C1_g,C1_h,C1_i,C3_a,C3_b,C3_c,C3_d,C3_e,C3_f,D1_a,D1_b,D1_c,D1_d,D1_e,D1_f,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E1_g,E1_h,E10,E14,p_volunteer,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap,A4A5_agg,opinionated
18,”2”,2,”1”,FALSE,8,2,3,3,1,2,2,3,2,3,3,2,1,2,2,2,2,1,3,2,3,2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,4,2,2,”2”,4,3,1,1,0.427777778,FALSE
19,”1”,2,”3”,FALSE,4,2,2,2,2,2,1,2,3,4,3,5,3,3,2,2,2,2,3,2,5,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,3,2,1,1,2,2,2,2,2,1,2,2,4,2,1,”1”,4,1,2,2,0.361111111,FALSE
20,”2”,1,”3”,FALSE,,1,1,1,1,1,2,2,4,1,4,1,2,4,2,2,2,1,3,1,4,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,7,3,2,”1”,4,3,2,2,0.833333333,TRUE
21,”2”,4,”2”,FALSE,9,2,3,3,3,2,2,4,3,4,4,4,2,4,2,2,2,2,4,3,4,1,1,1,1,1,-98,2,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,7,1,1,”1”,4,1,2,2,0.388888889,FALSE
22,”1”,2,”3”,FALSE,8,2,2,2,2,2,2,3,3,3,4,4,4,2,2,2,2,2,2,2,4,2,1,1,2,2,1,2,2,2,1,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,”2”,2,1,6,6,0.333333333,FALSE
23,”1”,2,”3”,FALSE,9,2,2,2,2,2,3,3,3,2,3,-98,4,3,2,2,2,2,2,2,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,2,1,7,1,2,”2”,4,,6,6,3.055555556,FALSE
24,”2”,2,”1”,FALSE,,1,2,3,1,2,3,3,4,4,3,1,4,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,3,1,1,2,2,2,2,2,1,1,2,4,2,1,”2”,4,1,2,2,0.494444444,FALSE
25,”2”,1,”1”,FALSE,10,1,2,2,1,1,2,4,4,2,5,4,2,4,2,2,2,1,2,2,4,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,2,4,2,1,”2”,4,3,2,2,0.672222222,TRUE
26,”1”,2,”1”,FALSE,7,2,2,2,2,3,2,1,2,3,2,3,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,3,3,1,1,2,2,2,2,2,1,2,-99,4,1,1,”1”,4,1,2,2,0.388888889,FALSE
27,”1”,5,”3”,FALSE,,4,3,2,2,2,2,3,4,2,2,5,4,2,2,2,2,1,2,2,4,2,1,1,1,2,2,2,1,2,1,1,2,1,2,2,3,1,3,1,2,1,2,2,2,2,2,1,2,-98,4,3,1,”2”,4,2,2,2,0.511111111,TRUE
28,”1”,2,”4”,FALSE,8,2,3,2,1,2,2,2,4,4,4,4,3,4,2,2,2,2,2,2,4,-99,1,1,1,1,-99,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,-99,-99,-99,-99,-99,1,-99,-99,4,1,1,”2”,4,3,2,2,0.455555556,FALSE
29,”1”,1,”1”,FALSE,8,1,2,2,2,1,2,4,4,2,3,2,3,4,2,2,2,1,3,3,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,”1”,3,2,2,2,0.522222222,TRUE
30,”2”,1,”3”,FALSE,10,2,2,2,2,1,1,3,4,3,4,2,2,2,2,2,2,1,2,1,4,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,3,3,2,1,2,1,2,2,2,2,2,1,1,2,7,1,2,”2”,4,1,2,2,0.483333333,FALSE
31,”1”,2,”3”,FALSE,8,3,3,2,1,2,2,2,4,3,3,2,4,3,2,2,2,1,3,2,5,2,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,4,2,2,”2”,4,2,2,2,0.4,FALSE
32,”2”,2,”6”,FALSE,7,2,2,2,1,3,2,2,3,2,3,3,2,3,2,2,2,1,3,1,4,2,1,1,1,2,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,4,2,2,”2”,4,3,3,3,0.372222222,FALSE
33,”1”,4,”3”,FALSE,3,3,2,3,2,2,2,2,2,4,2,2,4,3,2,2,2,2,3,3,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,3,3,3,3,3,2,2,2,2,2,2,2,2,4,2,2,”1”,4,2,3,3,0.388888889,FALSE
34,”1”,1,”3”,FALSE,2,4,3,3,1,1,2,1,2,3,2,4,1,1,2,2,2,2,1,4,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,8,2,2,”1”,4,1,3,3,0.7,TRUE
35,”1”,2,”1”,FALSE,9,2,2,1,1,1,3,3,3,3,3,4,2,3,2,2,2,2,2,2,5,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,3,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,”1”,4,,3,3,0.45,FALSE
36,”1”,2,”3”,FALSE,,2,3,2,3,2,2,3,4,2,3,2,4,3,2,2,2,1,3,2,4,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,3,3,3,3,4,2,2,2,2,2,2,1,2,2,7,2,2,”1”,3,3,3,3,0.333333333,FALSE
37,”1”,2,”3”,FALSE,7,2,2,2,2,1,2,4,4,3,3,3,3,4,2,2,2,1,3,2,5,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,3,2,2,2,3,1,1,2,2,2,2,2,1,2,4,3,1,”2”,2,3,3,3,0.372222222,FALSE
38,”1”,1,”1”,FALSE,8,1,1,1,1,1,2,3,5,2,5,2,5,5,2,2,2,1,2,2,5,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,7,2,2,”2”,4,1,3,3,0.861111111,TRUE
39,”1”,2,”1”,FALSE,8,2,2,2,2,2,3,4,5,3,5,4,4,4,2,2,2,1,3,2,4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,3,2,1,1,2,2,2,2,2,1,1,1,7,1,1,”2”,3,1,3,3,0.416666667,FALSE
40,”1”,2,”1”,FALSE,5,1,3,3,1,1,2,4,4,3,5,2,4,4,2,2,2,2,3,2,5,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,3,1,3,3,2,1,2,2,2,2,2,1,1,2,1,1,2,”1”,3,3,3,3,0.616666667,TRUE
41,”1”,2,”4”,FALSE,,3,3,3,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,4,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,8,2,1,”2”,3,1,3,3,0.305555556,FALSE
42,”1”,2,”6”,FALSE,7,1,2,2,1,2,2,3,4,3,4,1,5,3,2,2,2,2,3,2,2,1,1,1,2,1,2,2,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,”1”,4,3,3,3,0.522222222,TRUE
43,”1”,1,”3”,FALSE,8,2,2,2,2,1,3,4,4,2,4,4,2,3,2,2,2,2,3,3,5,2,1,1,1,2,2,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,2,2,2,2,2,1,1,1,7,2,1,”2”,4,1,3,3,0.455555556,FALSE
44,”1”,4,”1”,FALSE,7,2,2,2,3,1,2,4,4,2,4,4,4,3,2,2,2,1,2,2,4,2,1,1,1,1,2,1,1,2,2,2,1,2,1,2,3,2,2,3,2,1,1,2,2,2,2,2,2,1,1,2,2,”2”,2,2,3,3,0.455555556,FALSE
45,”1”,1,”3”,FALSE,8,3,2,3,3,2,4,2,2,4,3,3,3,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,8,2,2,”2”,3,3,3,3,0.361111111,FALSE
46,”1”,4,”-99”,FALSE,6,3,3,3,3,3,3,2,2,4,3,2,2,2,2,2,2,1,2,2,5,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,3,3,3,3,3,3,2,2,2,2,2,1,2,2,4,2,2,”1”,4,,3,3,0.361111111,FALSE
47,”1”,4,”34”,FALSE,7,3,2,3,3,3,3,3,3,4,4,2,4,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,”1”,3,2,3,3,0.333333333,FALSE
48,”2”,2,”1”,FALSE,6,2,1,1,2,1,1,4,3,2,3,2,2,5,2,2,2,2,2,1,4,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,7,2,1,”2”,4,2,3,3,0.616666667,TRUE
49,”2”,2,”6”,FALSE,6,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,1,2,2,4,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,3,3,3,3,2,2,1,2,2,2,2,2,1,1,4,2,2,”2”,3,2,3,3,0.194444444,FALSE
50,”2”,1,”6”,FALSE,9,3,2,3,2,2,2,4,2,4,2,1,5,1,2,2,2,2,3,2,4,2,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,4,3,2,”2”,4,3,3,3,0.527777778,TRUE
51,”1”,2,”3”,FALSE,8,3,2,2,1,1,2,4,5,2,4,4,4,4,2,2,2,2,3,3,5,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,4,2,2,”1”,4,1,3,3,0.577777778,TRUE
52,”1”,2,”1”,FALSE,,3,3,2,1,2,2,2,2,3,1,1,1,2,2,2,2,2,4,2,4,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,2,2,”2”,4,1,4,4,0.538888889,TRUE
53,”1”,2,”3”,FALSE,6,2,2,2,2,2,2,2,2,3,2,4,2,1,2,2,1,1,2,1,4,2,2,1,1,2,1,2,1,2,1,1,1,2,1,1,3,2,3,3,1,3,1,2,2,2,2,2,1,2,1,2,1,”2”,2,1,4,4,0.416666667,FALSE
54,”1”,2,”1”,FALSE,5,2,2,2,2,2,2,3,4,3,3,2,3,3,2,2,2,1,2,1,4,2,1,1,1,1,2,2,1,1,1,1,2,2,1,2,3,1,3,2,2,1,1,2,2,2,2,2,1,2,1,1,1,”2”,2,1,4,4,0.277777778,FALSE
55,”2”,2,”1”,FALSE,,3,3,2,1,3,3,3,4,4,3,1,4,3,2,2,2,1,-98,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,3,2,3,3,3,2,2,2,2,2,1,1,1,4,2,1,”2”,4,1,4,4,0.4,FALSE
56,”1”,2,”1”,FALSE,,3,2,3,2,2,3,3,2,4,2,3,2,3,2,2,2,1,2,2,5,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,3,2,1,”2”,2,2,4,4,0.305555556,FALSE
57,”1”,2,”3”,FALSE,6,3,3,3,2,3,2,2,2,4,2,2,2,2,2,2,2,1,2,2,4,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,”1”,3,2,4,4,0.416666667,FALSE
58,”1”,2,”1”,FALSE,5,2,2,2,2,2,2,3,2,3,2,4,3,3,2,2,2,1,2,2,5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,4,2,3,2,1,1,1,1,2,2,2,2,1,1,2,3,1,”2”,2,2,5,5,0.305555556,FALSE
59,”2”,2,”3”,FALSE,8,3,2,2,2,1,2,4,1,4,4,2,5,1,1,2,2,1,,2,2,2,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,1,4,2,2,”2”,4,1,5,5,0.566666667,TRUE
60,”1”,2,”1”,FALSE,9,2,2,2,2,2,2,3,3,3,4,2,3,3,2,2,2,1,3,2,4,2,1,1,1,1,-98,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,-98,7,1,2,”2”,4,3,5,5,0.277777778,FALSE
61,”1”,2,”1”,FALSE,,2,2,1,1,1,2,4,4,2,4,2,4,4,2,2,2,2,3,2,5,1,1,1,1,2,-99,-99,-99,-99,1,2,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,2,”2”,4,,5,5,0.616666667,TRUE
62,”1”,4,”1”,FALSE,7,2,3,2,2,2,3,2,4,3,4,4,4,4,2,2,2,2,2,2,4,2,1,1,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,”1”,3,1,5,5,0.361111111,FALSE
63,”2”,2,”-98”,TRUE,7,3,3,2,2,2,2,1,-98,4,1,4,2,2,2,2,2,2,3,3,4,2,1,1,1,-98,-98,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,4,2,1,”2”,4,,5,5,3.25,FALSE
64,”1”,2,”1”,FALSE,8,3,2,1,3,1,4,2,1,4,3,3,3,2,2,2,2,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,2,2,1,2,2,2,1,2,1,2,1,”1”,2,2,5,5,0.494444444,FALSE
65,”2”,2,”3”,FALSE,,2,2,2,2,2,2,2,2,4,1,4,2,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,3,3,3,4,3,3,2,2,2,2,1,1,2,2,4,2,2,”1”,3,2,1,1,0.472222222,FALSE
66,”1”,2,”3”,FALSE,,3,2,3,1,2,2,4,4,3,4,4,4,3,2,2,2,1,3,3,4,1,2,1,2,2,2,2,1,2,1,1,2,1,1,2,3,1,3,3,1,1,1,2,2,2,2,2,1,2,1,1,2,”1”,3,1,3,3,0.427777778,FALSE
67,”1”,4,”4”,FALSE,8,2,1,2,1,1,3,4,4,4,4,4,4,4,2,2,1,1,3,2,4,1,1,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,1,3,1,2,1,2,2,2,2,2,2,2,2,1,2,”1”,3,1,1,1,0.588888889,TRUE
68,”1”,2,”1”,FALSE,8,2,2,2,1,2,3,2,4,2,3,2,3,4,2,2,2,1,3,3,4,2,1,1,2,1,2,2,1,2,1,1,1,2,1,2,3,2,2,2,1,1,2,2,2,2,2,2,2,2,4,2,2,”2”,4,3,1,1,0.4,FALSE
69,”1”,4,”4”,FALSE,,3,3,2,2,2,3,2,3,3,2,4,2,2,2,2,2,1,2,2,4,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,3,4,1,3,3,2,2,2,1,1,2,2,2,2,5,2,2,”1”,2,3,4,4,0.333333333,FALSE
70,”1”,2,”3”,FALSE,7,2,2,2,2,2,2,2,4,4,3,4,2,2,2,2,2,1,3,1,4,2,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,”1”,3,1,2,2,0.388888889,FALSE
71,”1”,2,”3”,FALSE,0,4,2,2,2,2,3,2,3,3,2,3,2,2,2,2,2,1,4,2,5,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,5,1,1,3,2,2,1,2,2,2,1,2,1,1,2,”2”,1,3,2,2,0.372222222,FALSE
72,”1”,2,”-98”,TRUE,7,3,2,3,2,2,2,4,3,4,3,2,3,2,2,2,2,1,3,1,4,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,3,2,2,2,1,1,1,2,2,2,2,2,1,2,1,2,1,”2”,2,2,1,1,0.333333333,FALSE
73,”1”,2,”-98”,TRUE,8,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,1,2,1,4,2,1,1,2,2,2,2,1,2,1,1,2,1,1,1,3,3,3,3,3,1,1,2,2,2,2,2,2,2,1,3,2,”1”,3,2,3,3,0.305555556,FALSE
74,”1”,2,”1”,FALSE,5,2,2,2,1,2,2,3,4,2,4,5,4,4,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,1,3,3,2,1,2,1,2,2,2,2,1,2,1,2,1,”2”,2,3,5,5,0.483333333,FALSE
75,”1”,2,”3”,FALSE,4,2,2,2,1,1,3,2,2,4,4,2,4,3,2,2,2,2,3,2,4,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,1,-98,4,3,2,”2”,4,,2,2,0.494444444,FALSE
76,”1”,2,”1”,FALSE,,2,2,2,2,2,4,3,4,3,4,4,3,4,2,2,2,1,2,2,5,1,1,1,2,1,2,2,1,2,1,1,1,2,1,2,3,3,3,3,3,2,1,2,2,2,2,2,1,2,1,2,2,”2”,2,1,5,5,0.333333333,FALSE
77,”1”,2,”11”,FALSE,5,3,3,3,1,1,2,2,2,4,2,3,2,3,2,2,2,2,3,2,4,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,3,3,3,2,4,4,2,2,2,2,2,1,2,2,4,3,2,”1”,4,1,1,1,0.494444444,FALSE
78,”1”,2,”1”,FALSE,7,3,3,3,3,3,3,3,3,4,2,2,3,3,2,2,2,1,3,3,4,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,7,2,2,”NaN”,4,2,2,2,0.277777778,FALSE
79,”1”,4,”4”,FALSE,7,3,2,3,2,2,2,4,2,4,4,4,4,4,2,2,2,1,3,2,5,1,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,”1”,2,1,8,8,0.416666667,FALSE
80,”1”,2,”6”,FALSE,8,2,2,2,2,2,2,3,4,3,4,4,3,4,1,2,1,1,,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,2,2,2,1,1,1,2,2,1,2,2,1,-98,7,1,1,”2”,3,2,3,3,0.333333333,FALSE
81,”1”,1,”1”,FALSE,8,2,2,2,1,1,3,4,3,2,4,3,4,3,1,2,2,1,,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,3,3,4,3,2,2,2,2,2,2,1,1,2,2,4,3,2,”2”,3,2,1,1,0.466666667,FALSE
82,”1”,2,”2”,FALSE,6,3,2,2,2,2,1,3,2,3,4,2,4,2,2,2,2,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,2,2,1,2,2,2,2,2,2,2,1,2,2,”1”,3,1,5,5,0.388888889,FALSE
83,”1”,4,”1”,FALSE,3,3,3,2,2,2,2,3,2,4,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,4,4,4,4,3,4,2,2,1,1,2,2,2,2,7,3,2,”1”,2,1,4,4,0.388888889,FALSE
84,”1”,2,”1”,FALSE,3,1,3,2,1,2,2,2,3,3,4,4,4,4,2,2,2,1,2,1,5,2,1,1,2,1,2,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,4,2,2,”1”,4,3,4,4,0.494444444,FALSE
85,”1”,4,”3”,FALSE,7,3,3,2,2,2,2,2,4,3,4,4,3,4,2,2,2,1,2,1,5,2,1,1,2,2,1,2,2,1,1,1,1,1,1,2,3,2,3,4,3,2,2,2,2,2,2,1,1,1,4,2,2,”2”,4,2,2,2,0.361111111,FALSE
86,”1”,2,”1”,FALSE,10,2,3,2,2,2,3,3,2,3,3,2,2,3,2,2,2,1,2,1,4,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,1,2,”2”,4,2,1,1,0.277777778,FALSE
87,”1”,2,”-99”,FALSE,4,1,1,3,1,1,2,3,2,2,4,2,2,4,1,2,2,1,,2,5,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,”2”,3,2,1,1,0.655555556,TRUE
88,”1”,4,”3”,FALSE,5,4,3,1,2,2,2,2,2,4,3,4,4,2,2,2,2,2,3,2,4,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,3,1,2,1,1,2,2,2,2,2,2,2,1,2,2,”2”,3,1,2,2,0.522222222,TRUE
89,”1”,2,”3”,FALSE,7,3,2,2,1,2,2,4,4,3,3,4,4,4,2,2,2,1,3,2,5,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,7,1,1,”2”,4,1,2,2,0.427777778,FALSE
90,”1”,2,”1”,FALSE,5,2,3,3,2,2,3,3,4,4,4,5,3,4,2,2,2,2,2,2,4,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,”2”,2,1,4,4,0.361111111,FALSE
91,”1”,2,”4”,FALSE,9,3,3,3,3,2,3,3,2,4,2,2,2,2,2,2,2,2,2,2,4,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,”1”,2,1,3,3,0.361111111,FALSE
